epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,967.732,1.04309,0.34794,0.03208,0.57068,0.87348,0.96941,0.96459,0.98413,0.73023,0.96881,0.96369,0.98415,0.96474,0.97818,0.17402,0.00689,0.55303,0.82304,0.007129,0.007129,0.007129
89,974.635,1.02934,0.3274,0.03171,0.56433,0.87161,0.96998,0.97047,0.98728,0.72649,0.96957,0.96993,0.98771,0.96582,0.96813,0.17601,0.00678,0.48988,0.82509,0.007096,0.007096,0.007096
90,985.355,1.0436,0.35353,0.0301,0.57133,0.87476,0.93834,0.94822,0.97659,0.71571,0.93828,0.94841,0.9781,0.95492,1.0078,0.1922,0.00777,0.56698,0.82658,0.007063,0.007063,0.007063
91,998.07,1.03491,0.3323,0.03084,0.56323,0.87232,0.94198,0.94276,0.97586,0.70823,0.9438,0.93978,0.97563,0.9533,1.0169,0.19956,0.00648,0.5374,0.82858,0.00703,0.00703,0.00703
92,1009.12,1.0374,0.3353,0.02854,0.55971,0.87335,0.97268,0.97042,0.98548,0.73399,0.97144,0.96917,0.98564,0.96739,0.91536,0.16448,0.00658,0.51834,0.82142,0.006997,0.006997,0.006997
93,1020.26,1.03038,0.3296,0.02835,0.55179,0.87278,0.96915,0.96726,0.98601,0.7387,0.96835,0.96642,0.98688,0.96903,0.92175,0.16528,0.00715,0.48328,0.82314,0.006964,0.006964,0.006964
94,1029.81,1.02139,0.32128,0.02867,0.56167,0.86818,0.97123,0.96684,0.98402,0.73455,0.97003,0.96558,0.98327,0.9653,0.94966,0.16643,0.00649,0.47802,0.82499,0.006931,0.006931,0.006931
95,1039.13,1.02341,0.33719,0.03068,0.55043,0.87054,0.96467,0.96675,0.98469,0.73192,0.96495,0.96519,0.98339,0.96439,0.97421,0.17381,0.0073,0.48391,0.82486,0.006898,0.006898,0.006898
96,1050.43,1.03347,0.33202,0.0295,0.55481,0.87109,0.93528,0.95667,0.97666,0.70465,0.93587,0.95709,0.97746,0.95288,1.03732,0.19477,0.00711,0.52783,0.83243,0.006865,0.006865,0.006865
97,1058.11,1.02313,0.3369,0.02821,0.54992,0.86974,0.95448,0.96209,0.98292,0.7266,0.95452,0.96209,0.98279,0.96156,0.96808,0.17699,0.00626,0.49789,0.82482,0.006832,0.006832,0.006832
